Frame#,Time,XW,YW,ZW,XRM,YRM,ZRM,VXW,VYW,VZW,VXRM,VYRM,VZRM,AXW,AYW,AZW,AXRM,AYRM,AZRM,AXRM_G,AYRM_G,AZRM_G
91,1.5,-112.93124,39.72025,81.03907,-112.13373,34.0165,113.81163,-208.3247059,0.029024261,5.198171028,5.54375655,-0.091909903,-1.771019284,65.23788927,-0.006583449,204.5436189,-0.084671451,0.002421847,1.490259362,-0.008639944,0.000247127,0.152067282
92,1.517,-116.60926,39.53429,80.47707,-115.19678,34.26965,113.27794,-216.3541176,0.050559812,3.022155302,5.450266904,-0.082646382,-2.108196721,-472.3183391,-0.005855202,11.70152574,0.166351684,-0.00302428,-1.331927464,0.016974662,-0.0003086,-0.135910966
93,1.533,-120.43393,39.24374,79.8795,-118.33113,34.37371,112.70085,-239.041875,0.075967338,2.056685596,5.245159563,-0.033199866,-5.545742841,-1417.984835,-0.006643064,3.322903824,0.343235673,-0.015775684,-33.03426984,0.035024048,-0.001609764,-3.370843861
94,1.55,-124.41136,38.87985,79.31048,-121.55908,34.54138,112.11027,-233.9664706,0.091488725,1.563714309,5.672823451,-0.051943184,-3.522275899,298.5532007,-0.003902366,1.354726118,-0.751579712,0.00580657,12.06815138,-0.076691807,0.000592507,1.231444018
95,1.567,-128.48631,38.43079,78.77988,-124.94538,34.6386,111.58729,-239.7029412,0.110200125,1.181579299,6.382020354,-0.028709801,-5.379345814,-337.4394464,-0.004591811,0.850966486,-1.336594239,-0.006860994,-19.10172716,-0.136387167,-0.000700101,-1.949155833
96,1.583,-132.61568,37.87177,78.30155,-128.37022,34.52986,111.08737,-258.085625,0.135376583,0.855658116,7.159994146,0.031750388,4.597388266,-1148.917739,-0.006096925,0.583022402,-1.62643738,-0.017653435,-91.74852013,-0.165962998,-0.001801371,-9.362093891
97,1.6,-136.69641,37.24442,77.94186,-131.79079,34.26367,110.63623,-240.0429412,0.153734748,0.573348211,9.509772304,0.077820363,1.694804463,1061.334343,-0.004498745,0.450003834,-6.532787004,-0.013468508,10.90418048,-0.666610919,-0.001374338,1.112671478
98,1.617,-140.77913,36.53722,77.74585,-135.19774,33.75418,110.33081,-240.16,0.173217855,0.277163462,17.38151115,0.149544314,0.599462207,-6.885813149,-0.00477209,0.418813277,-40.1598839,-0.021052246,2.149879793,-4.097947337,-0.002148188,0.219375489
99,1.633,-144.73181,35.63832,77.75318,-138.53046,32.98285,110.17494,-247.0425,0.227415323,-0.008154411,-454.6684857,0.231441585,0.202079525,-430.15625,-0.013711575,0.317407801,-64399.72672,-0.024573703,0.515191529,-6571.400686,-0.002507521,0.052570564
100,1.65,-148.64465,34.49124,77.99191,-141.72968,32.01363,110.22644,-230.1670588,0.293157911,-0.208119748,-13.40099694,0.302955095,-0.053135511,992.6730104,-0.016801757,0.174325537,1848.39563,-0.022353421,0.263320026,188.611799,-0.002280961,0.02686939
101,1.667,-152.44444,32.98754,78.37324,-144.69879,30.8926,110.37714,-223.5170588,0.395732396,-0.253594467,-7.786195684,0.377564321,-0.134429944,391.1764706,-0.026994777,0.030241883,14.72425788,-0.025128481,0.072517625,1.502475294,-0.002564131,0.007399758
